Customer_ID,Product,Product_Category,Units,Unit_Price,Shopping_ID
ec0383fc-d8ac-45d6-9bb9-c0e24d19eb91,Lipstick,Beauty,1,133.16,56aff51a-f683-4aa9-bb76-e938cef2fc77
88eaa5a3-ccd4-4a14-b463-86ea55535b4f,Comics,Books,8,205.44,3ec0a218-07cc-45f7-b392-e7e666dd1f72
26c08fb0-4db1-44a0-8589-b9c6ea2c027f,Notebook,Stationery,8,182.23,2fefb4c2-0f0d-43a4-b27f-11475c2275a1
a55c84de-0449-44d5-b2df-1404c332f3b9,Eyeliner,Beauty,9,73.94,fcd96ae7-1cb9-4850-be29-e7f6e85db5ae
4d647cd4-df3c-4dc6-b265-58a53ee5f9f4,Microwave,Home Appliances,10,400.7,2d03ec23-ebf3-43f9-b905-770f4eca7cfc
2ed47eb7-8b4b-4594-a04d-e1a63197da2e,Smartphone,Electronics,10,451.57,65c61b77-190b-404a-a1b4-70c25efe8568
a86a6c99-e9b5-471a-9aad-4c6d9566bbf6,Dress,Clothing,2,449.92,9d2f1485-0b33-409a-9341-fdf568e77913
ae9a2e9b-a4ef-4f88-9f3d-d064099e3f1f,Bread,Groceries,6,238.71,61b44d40-bde9-42e6-b4fc-6d5f809e3e73
3e869b9d-4eaa-4f91-a926-f393189ce4c3,Eggs,Groceries,6,219.92,84ad4fba-d333-4845-a7d0-042f09e02404
022c388f-4723-4494-a4bb-c7bd092568cd,Blender,Home Appliances,4,483.47,2ca5c8bd-658d-4e66-8e13-58695d5d4f3a
b3adfccf-d62a-4a01-b1ff-72714d9092c6,Milk,Groceries,8,433.33,9c3dec84-2c0d-469e-a9fa-58a59f7e1d69
3cad60f9-7b72-450d-b058-b40c9fce4366,Dress,Clothing,1,403.49,79b4f41f-13c1-4652-84a6-5233408aa4a5
a3d7bbfd-04e9-41ae-96e6-7b459ec5f3b8,Refrigerator,Home Appliances,1,51.17,b58e714b-0355-4848-9c64-ca2964a5126d
bfea718a-110a-471a-8e24-58d7651698da,Action Figure,Toys,1,307.89,569db5bf-3ae7-4db3-8cee-ff5f74af3d8d
3386e934-307b-4e84-97bf-b068e1fe83d7,Skirt,Clothing,6,353.3,573a0323-686f-45f5-a17b-a3144a5721cb
712869c2-613f-429a-a234-dc5103d2881d,Eraser,Stationery,4,458.92,c234791b-7043-4926-a0e5-9c3a45d6efed
f6322b12-d548-40b3-9862-b6c8daa737c5,Dress,Clothing,4,402.66,eadc708c-b2b9-4d0f-bc68-4fdb50333b85
f92891d9-d183-4d34-9551-9020fba370c5,Jeans,Clothing,8,50.15,9dfa72b0-79f0-469c-922a-5233c3e0bb70
67326fe5-a96d-4e22-9793-631cb6f6fe9c,Skirt,Clothing,9,499,b4128514-0dc0-4d33-b42b-4265fc7e0634
93ac6eda-9f95-4b02-a24d-0549709a492d2,Eraser,Stationery,5,277.88,fe8ace60-b19e-42c0-9c93-6c04fbf0ef06
93ac6eda-9f95-4b02-a24d-0549709a492d,Eyeliner,Beauty,2,275.98,6f73e422-b884-4898-9acb-3ae127639546
2174e5ad-e5ed-4a1d-a797-c9003c92d775,Jeans,Clothing,4,482.1,5ef2e674-692b-467e-855d-166f870ec1bd
85abb968-c34d-4bb9-b5e6-f7ffeac0eb58,T-Shirt,Clothing,9,295.87,f5f40ce8-56d7-441c-916c-45b3ba59cba8
8b66d5eb-caf7-4d55-be7b-794e34094ed2,Air Conditioner,Home Appliances,10,399.98,0d1b74a0-e71a-4e27-a96d-8b1574d276e6
a30b0218-c522-4559-adcb-728f83b913f1,Board Game,Toys,10,124.84,590783d3-4c38-47c7-b06d-9dd20b8ad994
cdccbe82-4e82-4868-ba3f-4fc84b6ad4aa,Air Conditioner,Home Appliances,4,411.63,5c218a61-575c-473b-890b-ef95ae1275bc
0a5eb05b-c4eb-4179-81ad-cfa291378521,Notebook,Stationery,10,490.74,58e1e647-9967-4c52-a2ba-80ccbd80979f
